Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45971,Gracie ,Thread Herring,THH154,THH154gc,EO1,45894,mush ,0.1,unidentifiable mush ,-,1,
BOEM,45973,Sam P,Atlantic Bumper,ATB106,ATB106gc,WO2,45895,mysid,0.2,crustacean,>50,2,
BOEM,45973,Sam P,Atlantic Bumper,ATB107,ATB107gc,WI1,45895,mysid,<0.1,biomatter,>20,2,
BOEM,45973,Sam P,Atlantic Bumper,ATB108,ATB108gc,WI1,45895,mysid,<0.1,biomatter,>20,1,
BOEM,45973,Sam P,Atlantic Bumper,ATB109,ATB109gc,WI1,45895,mysid,<0.1,biomatter,>20,1,
BOEM,45973,Sam P,Atlantic Bumper,ATB110,ATB110gc,WI1,45895,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45973,Sam P,Thread Herring,THH155,THH156gc,WI1,45895,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45973,Sam P,Moonfish,MOF113,MOF113gc,EI1,45894,shrimp,0.2,crustacean ,>10,3,
BOEM,45973,Sam P,Moonfish,MOF115,MOF115gc,WO2,45895,shrimp,0.2,crustacean ,>10,3,
BOEM,45975,Dalton,Moonfish,MOF116,MOF116gc,EI1,45894,shrimp larvae?,0.1,crustacean ,-,2,
BOEM,45975,Dalton,Moonfish,MOF118,MOF118gc,EI1,45894,shrimp,<0.1,crustacean ,>1,3,
BOEM,45978,Sam P,Moonfish,MOF122,MOF122gc,WI1,45895,shrimp,0.3,biomatter,>50,3,
BOEM,45978,Sam P,Moonfish,MOF123,MOF123gc,WI1,45895,shrimp,0.2,biomatter,>50,3,probably crustacean but cannot fully tell 
BOEM,45978,Sam P,Moonfish,MOF124,MOF124gc,WI1,45895,shrimp,<0.1,biomatter,>20,3,crustacean based but could have other things in it so biomatter
BOEM,45978,Sam P,Moonfish,MOF125,MOF125gc,WI1,45895,shrimp,0.1,biomatter,>20,3,^^ 
BOEM,45978,Sam P,Moonfish,MOF129,MOF129gc,WI1,45895,shrimp,0.5,crustacean ,>50,3,
BOEM,45978,Sam P,Moonfish,MOF130,MOF130gc,WI1,45895,shrimp,0.3,crustacean ,>50,3,
BOEM,45978,Sam P,Moonfish,MOF131,MOF131gc,WI1,45895,shrimp,0.1,crustacean ,>20,3,
BOEM,45980,Gracie ,Striped Anchovy,STA375,STA375gc,WO2,45895,pink mush ,<0.1,unidentifiable mush ,-,1,
BOEM,45980,Sam P ,Striped Anchovy,STA385,STA385gc,WI1,45895,shrimp ,<0.1,biomatter,1,3,crustacean based 
BOEM,45980,Sam P ,Striped Anchovy,STA386,STA386gc,WI1,45895,mysid + mush ,0.1,biomatter,>100,2,
BOEM,45980,Gracie,Striped Anchovy,STA387,STA387gc,WI1,45895,mysid ,<0.1,biomatter,>50,3,
BOEM,45982,Dalton,Striped Anchovy,STA395,STA395gc,WI2,45895,shrimp larvae?,<0.1,,>40,2,no pic
BOEM,45982,Dalton,Atlantic Bumper,ATB118,ATB118gc,WI2,45895,fish muscle?,0.1,biomatter,-,2,
BOEM,46059,Cheyenne,Black Seabass,BSB099,BSB099gc1,WO1,45792,mush/biomatter?,0.3,biomatter,-,1,pic taken
BOEM,46059,Cheyenne,Black Seabass,BSB099,BSB099gc2,WO1,45792,shell,0.3,molusca,1,5,pic taken
BOEM,46059,Cheyenne,Black Seabass,BSB100,BSB100gc,WO1,45756,biomatter/veg?,1.9,biomatter,-,2,pic taken
